Date,Time,Level,Component,Content,EventId,EventTemplate
17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E28,"Registered signal handlers for [TERM, HUP, INT]"
17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E17,"Changing view acls to: yarn,curi"
17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E16,"Changing modify acls to: yarn,curi"
17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E15,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E17,"Changing view acls to: yarn,curi"
17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E16,"Changing modify acls to: yarn,curi"
17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E15,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E32,Slf4jLogger started
17/06/09,20:10:41,INFO,Remoting,Starting remoting,E34,Starting remoting
17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-[NUM]:[NUM]]
17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E35,Successfully started service 'sparkExecutorActorSystem' on port [NUM].
17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E27,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_[NUM]_[NUM]/blockmgr-[NUM]-[NUM]-[NUM]-[NUM]-[NUM]
17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,E29,MemoryStore started with capacity [NUM].[NUM] GB
