EventId,EventTemplate
E1,<*> failures on node MININT-<*>
E2,Added <*> to list of failed maps
E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
E6,Adding #<*> tokens and #<*> secret keys for NM use for launching container
E7,Adding job token for <*> to jobTokenSecretManager
E8,adding path spec: <*>
E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
E10,Address change detected. Old: <*> New: <*>
E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
E12,All maps assigned. Ramping up all remaining reduces:<*>
E13,Assigned container <*> to <*>
E14,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
E15,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP
E16,<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED
E17,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
E18,<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP
E19,<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP
E20,<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED
E21,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
E22,ATTEMPT_START <*>
E23,Auth successful for <*> (auth:SIMPLE)
E24,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
E25,blacklistDisablePercent is <*>
E26,"Cannot assign container Container: [ContainerId: <*>, NodeId: <*>, NodeHttpAddress: <*>, Resource: <memory:<*>, vCores:<*>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*> or no pending map tasks - maps.isEmpty=<*>"
E27,Connecting to ResourceManager at <*>
E28,Container complete event for unknown container id <*>
E29,Created MRAppMaster for application <*>
E30,DataStreamer Exception
E31,Default file system [<*>]
E32,DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>
E33,DFSOutputStream ResponseProcessor exception for block BP-<*>
E34,Diagnostics report from <*>: Container killed by the ApplicationMaster.
