Dataset,Algorithm,TimeToken,TemplateSize
BGL_25%,Drain,0:00:32.562569,339
BGL_25%,Spell,0:00:39.857105,729
BGL_25%,HLM_Parser_S,0:00:34.350396,302
BGL_25%,Drain_A,0:00:37.527948,339
BGL_25%,Spell_A,0:00:39.418165,733
BGL_25%,HLM_Parser,0:00:37.537088,310
BGL_50%,Drain,0:01:09.336167,1046
BGL_50%,Spell,0:01:12.909540,911
BGL_50%,HLM_Parser_S,0:01:07.926707,370
BGL_50%,Drain_A,0:01:13.009393,1046
BGL_50%,Spell_A,0:01:12.705568,927
BGL_50%,HLM_Parser,0:01:14.872056,381
BGL_75%,Drain,0:01:46.355073,2544
BGL_75%,Spell,0:01:57.227783,1587
BGL_75%,HLM_Parser_S,0:01:52.570980,754
BGL_75%,Drain_A,0:02:01.818592,2544
BGL_75%,Spell_A,0:01:59.800805,1811
BGL_75%,HLM_Parser,0:02:18.138379,775
BGL_100%,Drain,0:02:23.727735,3819
BGL_100%,Spell,0:16:22.849571,24444
BGL_100%,HLM_Parser_S,0:02:31.998975,1681
BGL_100%,Drain_A,0:03:01.592951,3819
BGL_100%,Spell_A,0:16:22.732942,24903
BGL_100%,HLM_Parser,0:03:16.581880,1708
,
