Dataset,Algorithm,TimeToken,TemplateSize
HDFS_25%,Drain,0:01:10.384538,42
HDFS_25%,Spell,0:01:21.154015,34
HDFS_25%,HLM_Parser_S,0:01:10.959019,34
HDFS_25%,Drain_A,0:01:35.377905,42
HDFS_25%,Spell_A,0:01:21.950141,34
HDFS_25%,HLM_Parser,0:01:34.736174,35
HDFS_50%,Drain,0:02:24.568219,44
HDFS_50%,Spell,0:02:52.729654,34
HDFS_50%,HLM_Parser_S,0:02:22.264511,34
HDFS_50%,Drain_A,0:03:18.239822,44
HDFS_50%,Spell_A,0:02:45.631801,34
HDFS_50%,HLM_Parser,0:03:15.231407,36
HDFS_75%,Drain,0:03:44.381771,46
HDFS_75%,Spell,0:04:13.689505,36
HDFS_75%,HLM_Parser_S,0:03:43.579916,36
HDFS_75%,Drain_A,0:05:09.557604,46
HDFS_75%,Spell_A,0:04:31.584934,36
HDFS_75%,HLM_Parser,0:05:14.712758,39
HDFS_100%,Drain,0:05:19.378797,48
HDFS_100%,Spell,0:05:58.926436,37
HDFS_100%,HLM_Parser_S,0:05:12.322213,37
HDFS_100%,Drain_A,0:07:05.904838,48
HDFS_100%,Spell_A,0:05:57.731851,37
HDFS_100%,HLM_Parser,0:06:44.831548,43
,,
