Dataset,Algorithm,TimeToken,TemplateSize
OpenStack_25%,Drain,0:00:01.214813,40
OpenStack_25%,Spell,0:00:02.443554,772
OpenStack_25%,HLM_Parser_S,0:00:01.178875,40
OpenStack_25%,Drain_A,0:00:01.245209,40
OpenStack_25%,Spell_A,0:00:02.590434,772
OpenStack_25%,HLM_Parser,0:00:01.231831,40
OpenStack_50%,Drain,0:00:02.374369,40
OpenStack_50%,Spell,0:00:07.068041,1502
OpenStack_50%,HLM_Parser_S,0:00:02.378827,40
OpenStack_50%,Drain_A,0:00:02.482543,40
OpenStack_50%,Spell_A,0:00:07.069772,1502
OpenStack_50%,HLM_Parser,0:00:02.476737,40
OpenStack_75%,Drain,0:00:03.559521,40
OpenStack_75%,Spell,0:00:13.850739,2229
OpenStack_75%,HLM_Parser_S,0:00:03.525300,40
OpenStack_75%,Drain_A,0:00:03.717006,40
OpenStack_75%,Spell_A,0:00:13.931654,2229
OpenStack_75%,HLM_Parser,0:00:03.730165,40
OpenStack_100%,Drain,0:00:04.835417,43
OpenStack_100%,Spell,0:00:19.680131,2670
OpenStack_100%,HLM_Parser_S,0:00:04.790075,43
OpenStack_100%,Drain_A,0:00:04.922801,43
OpenStack_100%,Spell_A,0:00:19.606765,2670
OpenStack_100%,HLM_Parser,0:00:04.976120,43
