Dataset,Algorithm,TimeToken,TemplateSize
OpenStack_25%,Drain,0:00:01.153610,40
OpenStack_25%,Spell,0:00:01.943932,399
OpenStack_25%,HLM_Parser_S,0:00:01.193014,35
OpenStack_25%,Drain_A,0:00:01.194050,40
OpenStack_25%,Spell_A,0:00:01.892390,399
OpenStack_25%,HLM_Parser,0:00:01.244081,35
OpenStack_50%,Drain,0:00:02.393437,40
OpenStack_50%,Spell,0:00:05.092403,764
OpenStack_50%,HLM_Parser_S,0:00:02.408999,35
OpenStack_50%,Drain_A,0:00:02.463611,40
OpenStack_50%,Spell_A,0:00:05.154762,764
OpenStack_50%,HLM_Parser,0:00:02.548590,35
OpenStack_75%,Drain,0:00:03.479682,40
OpenStack_75%,Spell,0:00:09.549242,1128
OpenStack_75%,HLM_Parser_S,0:00:03.660390,35
OpenStack_75%,Drain_A,0:00:03.623860,40
OpenStack_75%,Spell_A,0:00:09.613017,1128
OpenStack_75%,HLM_Parser,0:00:03.828402,35
OpenStack_100%,Drain,0:00:04.692277,43
OpenStack_100%,Spell,0:00:14.234652,1350
OpenStack_100%,HLM_Parser_S,0:00:05.144057,38
OpenStack_100%,Drain_A,0:00:04.933914,43
OpenStack_100%,Spell_A,0:00:13.680486,1350
OpenStack_100%,HLM_Parser,0:00:05.166182,38
,,
