Dataset,Algorithm,TimeToken,TemplateSize
OpenStack_5w,Drain,0:00:02.264848,2616
OpenStack_5w,Spell,0:01:49.141547,10647
OpenStack_5w,HLM_Parser_S,0:00:11.486238,1824
OpenStack_5w,Drain_A,0:00:02.468958,2616
OpenStack_5w,Spell_A,0:01:47.258551,10647
OpenStack_5w,HLM_Parser,0:00:11.205926,1823
OpenStack_10w,Drain,0:00:00.078614,347
OpenStack_10w,Spell,0:00:00.332017,521
OpenStack_10w,HLM_Parser_S,0:00:00.134077,155
OpenStack_10w,Drain_A,0:00:00.086124,347
OpenStack_10w,Spell_A,0:00:00.357689,521
OpenStack_10w,HLM_Parser,0:00:00.127251,155
OpenStack_15w,Drain,0:00:00.003118,0
OpenStack_15w,Spell,0:00:00.000392,0
OpenStack_15w,HLM_Parser_S,0:00:00.000333,0
OpenStack_15w,Drain_A,0:00:00.000336,0
OpenStack_15w,Spell_A,0:00:00.000312,0
OpenStack_15w,HLM_Parser,0:00:00.000297,0
OpenStack_20w,Drain,0:00:00.000304,0
OpenStack_20w,Spell,0:00:00.000329,0
OpenStack_20w,HLM_Parser_S,0:00:00.000277,0
OpenStack_20w,Drain_A,0:00:00.000292,0
OpenStack_20w,Spell_A,0:00:00.000280,0
OpenStack_20w,HLM_Parser,0:00:00.000272,0
