Dataset,Algorithm,TimeToken
HDFS_5w,Drain,0:00:02.340498
HDFS_5w,Spell,0:00:02.395232
HDFS_5w,HLM_Parser_S,0:00:02.254112
HDFS_5w,Drain_A,0:00:02.650899
HDFS_5w,Spell_A,0:00:02.333779
HDFS_5w,HLM_Parser,0:00:02.682402
HDFS_10w,Drain,0:00:02.253741
HDFS_10w,Spell,0:00:02.385099
HDFS_10w,HLM_Parser_S,0:00:02.235838
HDFS_10w,Drain_A,0:00:02.747579
HDFS_10w,Spell_A,0:00:02.334783
HDFS_10w,HLM_Parser,0:00:02.763786
HDFS_15w,Drain,0:00:02.227317
HDFS_15w,Spell,0:00:02.408798
HDFS_15w,HLM_Parser_S,0:00:02.226800
HDFS_15w,Drain_A,0:00:03.129316
HDFS_15w,Spell_A,0:00:02.368745
HDFS_15w,HLM_Parser,0:00:03.005670
HDFS_20w,Drain,0:00:02.281655
HDFS_20w,Spell,0:00:02.420897
HDFS_20w,HLM_Parser_S,0:00:02.353914
HDFS_20w,Drain_A,0:00:02.867887
HDFS_20w,Spell_A,0:00:02.382512
HDFS_20w,HLM_Parser,0:00:02.928035
BGL_5w,Drain,0:00:01.906366
BGL_5w,Spell,0:00:02.098226
BGL_5w,HLM_Parser_S,0:00:01.943005
BGL_5w,Drain_A,0:00:02.053682
BGL_5w,Spell_A,0:00:02.010447
BGL_5w,HLM_Parser,0:00:02.275024
BGL_10w,Drain,0:00:02.337411
BGL_10w,Spell,0:00:02.148527
BGL_10w,HLM_Parser_S,0:00:01.958191
BGL_10w,Drain_A,0:00:01.982225
BGL_10w,Spell_A,0:00:02.073944
BGL_10w,HLM_Parser,0:00:01.977636
BGL_15w,Drain,0:00:01.820804
BGL_15w,Spell,0:00:02.003832
BGL_15w,HLM_Parser_S,0:00:01.858289
BGL_15w,Drain_A,0:00:01.922198
BGL_15w,Spell_A,0:00:02.016015
BGL_15w,HLM_Parser,0:00:01.868488
BGL_20w,Drain,0:00:01.970398
BGL_20w,Spell,0:00:02.165676
BGL_20w,HLM_Parser_S,0:00:02.011242
BGL_20w,Drain_A,0:00:02.114656
BGL_20w,Spell_A,0:00:02.098094
BGL_20w,HLM_Parser,0:00:02.121003
