log,template
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block blk_<*> of size <*> from /<*>
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block blk_<*> of size <*> from /<*>
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Verification succeeded for blk_-4980916519894289629,Verification succeeded for blk_<*>
Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,Received block blk_<*> of size <*> from /<*>
Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,Received block blk_<*> of size <*> from /<*>
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,Received block blk_<*> of size <*> from /<*>
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,Received block blk_<*> of size <*> from /<*>
