log,template
onStandStepChanged 3579,onStandStepChanged <*>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>
onStandStepChanged 3579,onStandStepChanged <*>
calculateCaloriesWithCache totalCalories=126775,calculateCaloriesWithCache totalCalories=<*>
onExtend:1514038530000 0 0 4,onExtend:<*> <*> <*> <*>
onStandStepChanged 3579,onStandStepChanged <*>
onStandStepChanged 3580,onStandStepChanged <*>
onExtend:1514038530000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126797,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3581,onStandStepChanged <*>
onExtend:1514038531000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
calculateCaloriesWithCache totalCalories=126818,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onStandStepChanged 3583,onStandStepChanged <*>
onExtend:1514038531000 2 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126861,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onStandStepChanged 3584,onStandStepChanged <*>
onExtend:1514038532000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126882,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onStandStepChanged 3585,onStandStepChanged <*>
onExtend:1514038533000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126904,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onStandStepChanged 3586,onStandStepChanged <*>
onExtend:1514038533000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126925,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
REPORT : 7014 5007 150239 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3587,onStandStepChanged <*>
onExtend:1514038534000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126947,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onStandStepChanged 3588,onStandStepChanged <*>
onExtend:1514038535000 1 0 4,onExtend:<*> <*> <*> <*>
onExtend:1514038535000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON
processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
flush sensor data,flush sensor data
 getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,setTodayTotalDetailSteps=<*>
onStandStepChanged 3589,onStandStepChanged <*>
calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3589,onStandStepChanged <*>
onExtend:1514038536000 0 0 4,onExtend:<*> <*> <*> <*>
onExtend:1514038536000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,setTodayTotalDetailSteps=<*>
calculateCaloriesWithCache totalCalories=127011,calculateCaloriesWithCache totalCalories=<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
onStandStepChanged 3591,onStandStepChanged <*>
onExtend:1514038536000 1 0 4,onExtend:<*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
