log,template
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
FA||Url||taskID[2019352994] dealloc,FA||Url||taskID[<*>] dealloc
ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled]
ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable]
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,"
"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096","ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>.<*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs"
"setting hostname to ""authorMacBook-Pro.local""","setting hostname to ""<*>"""
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,<*>::setAwdlAutoMode Resuming AWDL
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on awdl0. Reason 1 (Unspecified).
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
"PM response took 2010 ms (54, powerd)","PM response took <*> ms (<*>, powerd)"
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,"
"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096","ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",<*>::setAwdlAutoMode Resuming AWDL
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : <*> - network is not reachable, netbiosd is shutting down"
CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting CCFile::captureLogRun
Thermal pressure state: 1 Memory pressure state: 0,Thermal pressure state: <*> Memory pressure state: <*>
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,<*>::setAwdlAutoMode Resuming AWDL
ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>
AirPort: Link Up on en0,AirPort: Link Up on en0
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable]
AppleCamIn::systemWakeCall - messageType = 0xE0000340,AppleCamIn::systemWakeCall - messageType = <*>
ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,"ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>:<*>:<*><*>:<*>, <*> SRV Recs, <*> TXT Recs"
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>)
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>
"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278","ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>"
ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled]
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
ARPT: 621492.770239: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable]
en0::IO80211Interface::postMessage bssid changed,en0::IO80211Interface::postMessage bssid changed
ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1268 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12119 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
Thermal pressure state: 0 Memory pressure state: 0,Thermal pressure state: <*> Memory pressure state: <*>
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 437673 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12087 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - retries = <*>
