log,template
"Changing view acls to: yarn,curi",Changing view acls to: <*>
"Changing modify acls to: yarn,curi",Changing modify acls to: <*>
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
Got assigned task 1,Got assigned task <*>
Got assigned task 3,Got assigned task <*>
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>)
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>)
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>)
Got assigned task 4,Got assigned task <*>
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>)
Started reading broadcast variable 9,Started reading broadcast variable <*>
"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"Partition rdd_2_1 not found, computing it","Partition rdd_<*> not found, computing it"
"Partition rdd_2_3 not found, computing it","Partition rdd_<*> not found, computing it"
"Partition rdd_2_0 not found, computing it","Partition rdd_<*> not found, computing it"
"Partition rdd_2_2 not found, computing it","Partition rdd_<*> not found, computing it"
"Partition rdd_2_4 not found, computing it","Partition rdd_<*> not found, computing it"
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,Input split: hdfs://<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,Input split: hdfs://<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,Input split: hdfs://<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,Input split: hdfs://<*>
Started reading broadcast variable 8,Started reading broadcast variable <*>
"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
Reading broadcast variable 8 took 19 ms,Reading broadcast variable <*> took <*> ms
"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
Started reading broadcast variable 0,Started reading broadcast variable <*>
"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
Started reading broadcast variable 4,Started reading broadcast variable <*>
"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
Reading broadcast variable 4 took 18 ms,Reading broadcast variable <*> took <*> ms
Started reading broadcast variable 3,Started reading broadcast variable <*>
"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
Reading broadcast variable 1 took 16 ms,Reading broadcast variable <*> took <*> ms
"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
Started reading broadcast variable 2,Started reading broadcast variable <*>
Reading broadcast variable 2 took 16 ms,Reading broadcast variable <*> took <*> ms
"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"Times: total = 1078, boot = 851, init = 219, finish = 8","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 1077, boot = 865, init = 206, finish = 6","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"Times: total = 38, boot = 11, init = 27, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 42, boot = 12, init = 30, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 41, boot = 15, init = 26, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 40, boot = 7, init = 33, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 42, boot = 13, init = 28, finish = 1","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
