LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,172.16.0.24,Nov,07,12:10:52,1	authpriv	warning		1970-01-01T00:00:17.000Z 172.16.0.24 csbrick NILVALUE ETH @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""19"",""appMsg"":""B: Major network physical port status change, port 1 Link up"",""repNb"":""0"",""repLastTime"":""(null)""}",c67b0b86,"{ * Major network physical port status change, port * * *"
2,172.16.0.24,Nov,07,12:10:52,1	kern	info		1970-01-01T00:00:17.000Z 172.16.0.24 csbrick NILVALUE DeviceManager @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: RUN"",""repNb"":""0"",""repLastTime"":""(null)""}",c35864c5,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: *"
3,172.16.0.24,Nov,07,12:10:53,1	authpriv	warning		1970-01-01T00:00:19.000Z 172.16.0.24 csbrick NILVALUE ETH @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""19"",""appMsg"":""B: Major network physical port status change, port 1 Link up"",""repNb"":""0"",""repLastTime"":""(null)""}",c67b0b86,"{ * Major network physical port status change, port * * *"
4,172.16.0.24,Nov,07,12:10:53,1	kern	info		1970-01-01T00:00:19.000Z 172.16.0.24 csbrick NILVALUE DeviceManager @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: RUN"",""repNb"":""0"",""repLastTime"":""(null)""}",c35864c5,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: *"
5,172.16.0.24,Nov,07,12:10:54,1	kern	info		1970-01-01T00:00:19.000Z 172.16.0.24 csbrick NILVALUE DeviceManager @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: RUN"",""repNb"":""0"",""repLastTime"":""(null)""}",c35864c5,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: *"
6,172.16.0.24,Nov,07,12:10:54,1	authpriv	emerg		1970-01-01T00:00:19.000Z 172.16.0.24 csbrick NILVALUE RSTP @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""20"",""appMsg"":""B: Major network physical port status change, port 3 Port Learning"",""repNb"":""0"",""repLastTime"":""(null)""}",c67b0b86,"{ * Major network physical port status change, port * * *"
7,172.16.0.24,Nov,07,12:10:55,1	authpriv	emerg		1970-01-01T00:00:19.000Z 172.16.0.24 csbrick NILVALUE RSTP @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""20"",""appMsg"":""B: Major network physical port status change, port 3 Port Forward"",""repNb"":""0"",""repLastTime"":""(null)""}",c67b0b86,"{ * Major network physical port status change, port * * *"
8,172.16.0.24,Nov,07,13:55:47,1	kern	info		1970-01-04T18:32:26.000Z 172.16.0.24 csbrick NILVALUE FTP @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""172.16.0.76"",""type"":""21"",""appMsg"":""B: FTP user 'root' login FAILED"",""repNb"":""0"",""repLastTime"":""(null)""}",b7168720,"{ * FTP user * login FAILED"",""repNb"":""0"",""repLastTime"":""(null)""}"
9,172.16.0.24,Nov,23,15:00:37,1	authpriv	warning		1970-01-01T00:00:17.000Z 172.16.0.24 csbrick NILVALUE ETH @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""19"",""appMsg"":""B: Major network physical port status change, port 1 Link up"",""repNb"":""0"",""repLastTime"":""(null)""}",c67b0b86,"{ * Major network physical port status change, port * * *"
10,172.16.0.24,Nov,23,15:00:37,1	kern	info		1970-01-01T00:00:17.000Z 172.16.0.24 csbrick NILVALUE DeviceManager @cee,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: RUN"",""repNb"":""0"",""repLastTime"":""(null)""}",c35864c5,"{ ""issuerAddr"":""172.16.0.24"",""peerId"":""(null)"",""peerAddr"":""(null)"",""type"":""7"",""appMsg"":""B: PLC state update: *"
