EventId,EventTemplate
E1,Accepted password for <*> from <*> port <*> <*>
E2,Connection closed by <*> [<*>]
E3,Did not receive identification string from <*>
E4,Disconnecting: Too many authentication failures for admin [<*>]
E5,Disconnecting: Too many authentication failures for root [<*>]
E6,error: Received disconnect from <*>: <*>: <*>: Auth fail [<*>]
E7,error: Received disconnect from <*>: <*>: No more user authentication methods available. [<*>]
E8,Failed none for invalid user <*> from <*> port <*> <*>
E9,Failed password for <*> from <*> port <*> <*>
E10,Failed password for invalid user <*> from <*> port <*> <*>
E11,fatal: Write failed: Connection reset by peer [<*>]
E12,input_userauth_request: invalid user <*> [<*>]
E13,Invalid user <*> from <*>
E14,message repeated <*> times: [ Failed password for <*> from <*> port <*> <*>]
E15,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
E16,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
E17,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>
E18,PAM service(sshd) ignoring max retries; <*> > <*>
E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>
E21,pam_unix(sshd:auth): check pass; user <*>
E22,pam_unix(sshd:session): session closed for user <*>
E23,pam_unix(sshd:session): session opened for user <*> by (uid=<*>)
E24,Received disconnect from <*>: <*>: Bye Bye [<*>]
E25,Received disconnect from <*>: <*>: Closed due to user request. [<*>]
E26,Received disconnect from <*>: <*>: disconnected by user
E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
